cell_id,group
acfdnpob-1,normal
acfgjjbm-1,normal
acfjbamp-1,tumor
acfkcabg-1,tumor
acflcfjn-1,tumor
acfmgmnb-1,tumor
acfogccj-1,tumor
acfoilgp-1,tumor
acgajnhd-1,normal
acgdmlma-1,tumor
acgoeaen-1,tumor
achapohb-1,tumor
achbglfl-1,tumor
achfaipm-1,tumor
achfgclf-1,tumor
achfjclg-1,tumor
achknimc-1,tumor
achnbhcj-1,tumor
achndiem-1,tumor
achobfpe-1,tumor
aciafhjl-1,tumor
acibgedj-1,tumor
acibpphd-1,normal
acicadcm-1,normal
acidkmoo-1,normal
acihndfo-1,normal
aciifjfb-1,normal
acijnnoe-1,tumor
acinapji-1,tumor
acinnfmm-1,tumor
aciodhpn-1,tumor
acioelom-1,tumor
aciokgdi-1,tumor
acipdnjm-1,normal
acjdoeda-1,normal
acjebdga-1,normal
acjegahl-1,normal
acjffonm-1,normal
acjhokda-1,normal
ackbekeg-1,normal
ackeflpj-1,normal
ackhfgdi-1,normal
ackoibhm-1,normal
ackpaghc-1,normal
aclaahke-1,normal
aclammlo-1,normal
acldifdl-1,normal
acldjach-1,normal
aclelpdd-1,tumor
aclfpgoh-1,tumor
aclgblip-1,tumor
aclhfhem-1,tumor
aclnmgae-1,tumor
aclojgla-1,tumor
aclokemn-1,tumor
aclpccoi-1,tumor
acmccnck-1,tumor
acmfcpcc-1,tumor
acmgdmbl-1,tumor
acmjpjba-1,tumor
acmlabnc-1,tumor
acmmbloo-1,normal
acmmbndc-1,tumor
acmmiofm-1,tumor
acmocenf-1,tumor
acmpccjk-1,normal
acncjfpf-1,tumor
acnefihn-1,tumor
acniamee-1,tumor
acnmfggp-1,tumor
acobmfgf-1,tumor
acocnfjm-1,tumor
acocoinc-1,tumor
acodciol-1,tumor
acoeeacp-1,normal
acojjjpi-1,tumor
acombgla-1,normal
acomhdff-1,tumor
aconlbmm-1,tumor
acpbjhbg-1,tumor
acpbmkoh-1,tumor
acpcbmof-1,tumor
acpdbkkl-1,tumor
acpeboje-1,tumor
acpfdldl-1,tumor
acpmnckk-1,normal
acpnkglb-1,tumor
adagbfnb-1,tumor
adahhphp-1,tumor
adaibdim-1,tumor
adakaool-1,tumor
adalmapg-1,tumor
adannpej-1,normal
adbbknkn-1,normal
adbcgkkj-1,normal
adbifgnn-1,normal
adbifnff-1,tumor
adbkfbea-1,normal
adblhocj-1,normal
adblikff-1,normal
adbpjagc-1,normal
adcfcjje-1,normal
adcflhdj-1,tumor
adcgnbec-1,normal
adcgoefg-1,normal
adcibjog-1,tumor
adclfjeh-1,tumor
adcmncmi-1,tumor
adcncbim-1,tumor
addabfea-1,tumor
