,gene_names
398,BMP8A
399,PABPC4
400,HEYL
401,PPIE
402,BMP8B
403,OXCT2
404,TRIT1
405,MYCL
406,MFSD2A
407,CAP1
408,PPT1
409,RLF
410,ZMPSTE24
411,COL9A2
412,SMAP2
413,ZFP69B
414,ZFP69
415,EXO5
416,ZNF684
417,RIMS3
418,NFYC
419,KCNQ4
420,CITED4
421,CTPS1
422,SCMH1
423,FOXO6
424,EDN2
425,HIVEP3
426,GUCA2B
427,GUCA2A
428,FOXJ3
429,RIMKLA
430,ZMYND12
431,PPCS
432,CCDC30
433,PPIH
434,YBX1
435,P3H1
436,SVBP
437,ERMAP
438,ZNF691
439,SLC2A1
440,EBNA1BP2
441,TMEM125
442,C1orf210
443,TIE1
444,CDC20
445,ELOVL1
446,MED8
447,SZT2
448,HYI
449,PTPRF
450,KDM4A
451,ST3GAL3
452,ARTN
453,IPO13
454,DPH2
455,ATP6V0B
456,B4GALT2
457,CCDC24
458,SLC6A9
459,DMAP1
460,ERI3
461,RNF220
462,TMEM53
463,ARMH1
464,KIF2C
465,BEST4
466,PLK3
467,BTBD19
468,PTCH2
469,EIF2B3
470,HECTD3
471,UROD
472,ZSWIM5
473,HPDL
474,MUTYH
475,TOE1
476,TESK2
477,CCDC163
478,MMACHC
479,PRDX1
480,AKR1A1
481,NASP
482,CCDC17
483,GPBP1L1
484,TMEM69
485,IPP
486,MAST2
487,PIK3R3
488,TSPAN1
489,POMGNT1
490,LURAP1
491,RAD54L
492,LRRC41
493,UQCRH
494,NSUN4
495,FAAH
496,DMBX1
497,MKNK1
498,MOB3C
499,ATPAF1
500,EFCAB14
501,CYP4B1
502,CYP4X1
503,PDZK1IP1
504,TAL1
505,STIL
506,CMPK1
507,FOXD2
508,TRABD2B
509,SLC5A9
510,SPATA6
511,AGBL4
512,ELAVL4
513,DMRTA2
514,FAF1
515,CDKN2C
516,RNF11
517,TTC39A
518,EPS15
519,OSBPL9
520,NRDC
521,RAB3B
522,TXNDC12
523,KTI12
524,BTF3L4
525,ZFYVE9
526,CC2D1B
527,ORC1
528,PRPF38A
529,TUT4
530,GPX7
531,SHISAL2A
532,COA7
533,ZYG11B
534,ECHDC2
535,SCP2
536,PODN
537,CPT2
538,CZIB
539,MAGOH
540,LRP8
541,GLIS1
542,NDC1
543,YIPF1
544,LRRC42
545,LDLRAD1
546,TMEM59
547,TCEANC2
548,CYB5RL
549,SSBP3
550,ACOT11
551,MROH7
552,TTC4
553,PARS2
554,TTC22
555,LEXM
556,DHCR24
557,TMEM61
558,PCSK9
559,USP24
560,PLPP3
561,PRKAA2
562,FYB2
563,DAB1
564,OMA1
565,TACSTD2
566,MYSM1
567,JUN
568,FGGY
569,HOOK1
570,CYP2J2
571,NFIA
572,TM2D1
573,PATJ
574,L1TD1
575,KANK4
576,USP1
577,DOCK7
578,ATG4C
579,ALG6
580,ITGB3BP
581,EFCAB7
582,PGM1
583,ROR1
584,CACHD1
585,RAVER2
586,JAK1
587,AK4
588,DNAJC6
589,LEPROT
590,LEPR
591,PDE4B
592,SGIP1
593,INSL5
594,MIER1
595,SLC35D1
596,IL23R
597,IL12RB2
598,SERBP1
599,GADD45A
600,GNG12
601,DIRAS3
602,WLS
603,DEPDC1
604,LRRC40
605,SRSF11
606,ANKRD13C
607,HHLA3
608,CTH
609,PTGER3
610,ZRANB2
611,NEGR1
612,LRRIQ3
613,FPGT
614,TNNI3K
615,CRYZ
616,TYW3
617,SLC44A5
618,ACADM
619,RABGGTB
620,ST6GALNAC3
621,ST6GALNAC5
622,PIGK
623,USP33
624,MIGA1
625,NEXN
626,FUBP1
627,DNAJB4
628,GIPC2
629,PTGFR
630,IFI44L
631,IFI44
632,ADGRL4
633,ADGRL2
634,TTLL7
635,PRKACB
636,SAMD13
637,RPF1
638,GNG5
639,CTBS
640,SSX2IP
641,LPAR3
642,MCOLN2
643,MCOLN3
644,SYDE2
645,C1orf52
646,BCL10
647,DDAH1
648,CCN1
649,ZNHIT6
650,COL24A1
651,ODF2L
652,CLCA1
653,CLCA4
654,SH3GLB1
655,SELENOF
656,HS2ST1
657,LMO4
658,PKN2
659,GTF2B
660,KYAT3
661,RBMXL1
662,GBP3
663,GBP1
664,GBP2
665,GBP4
666,GBP5
667,LRRC8B
668,LRRC8C
669,LRRC8D
670,ZNF326
671,ZNF644
672,CDC7
673,TGFBR3
674,EPHX4
675,BTBD8
676,GLMN
677,RPAP2
678,GFI1
679,EVI5
680,DIPK1A
681,MTF2
682,TMED5
683,CCDC18
684,DR1
685,FNBP1L
686,BCAR3
687,DNTTIP2
688,GCLM
689,ABCA4
690,ARHGAP29
691,ABCD3
692,F3
693,SLC44A3
694,CNN3
695,ALG14
696,TLCD4
697,RWDD3
698,PTBP2
699,DPYD
700,SNX7
701,PLPPR4
702,PALMD
703,FRRS1
704,AGL
705,SLC35A3
706,MFSD14A
707,SASS6
708,TRMT13
709,LRRC39
710,DBT
711,RTCA
712,CDC14A
713,VCAM1
714,EXTL2
715,SLC30A7
716,DPH5
717,S1PR1
718,COL11A1
719,RNPC3
720,PRMT6
721,NTNG1
722,VAV3
723,SLC25A24
724,HENMT1
725,PRPF38B
726,STXBP3
727,GPSM2
728,CLCC1
729,WDR47
730,TAF13
731,TMEM167B
732,SARS1
733,CELSR2
734,PSRC1
735,SORT1
736,PSMA5
737,SYPL2
738,ATXN7L2
739,CYB561D1
740,AMIGO1
741,GNAI3
742,AMPD2
743,GSTM1
744,GSTM3
745,EPS8L3
746,CSF1
747,AHCYL1
748,STRIP1
749,KCNC4
750,RBM15
751,SLC16A4
752,LAMTOR5
753,KCNA2
754,KCNA3
755,CD53
756,LRIF1
757,DRAM2
758,CEPT1
759,DENND2D
760,CHI3L2
761,PIFO
762,OVGP1
763,WDR77
764,ATP5PB
765,C1orf162
766,ADORA3
767,RAP1A
768,INKA2
769,DDX20
770,KCND3
771,CTTNBP2NL
772,WNT2B
773,ST7L
774,CAPZA1
775,MOV10
776,RHOC
777,PPM1J
778,SLC16A1
779,LRIG2
780,MAGI3
781,PHTF1
782,RSBN1
783,PTPN22
784,BCL2L15
785,AP4B1
786,DCLRE1B
787,HIPK1
788,OLFML3
789,TRIM33
790,BCAS2
791,DENND2C
792,AMPD1
793,NRAS
794,CSDE1
795,SIKE1
796,TSPAN2
797,NGF
798,VANGL1
799,CASQ2
800,SLC22A15
801,MAB21L3
802,ATP1A1
803,CD58
804,IGSF3
805,CD2
806,PTGFRN
807,CD101
808,TTF2
809,TRIM45
810,MAN1A2
811,TENT5C
812,GDAP2
813,WDR3
814,WARS2
815,ZNF697
816,PHGDH
817,HMGCS2
818,REG4
819,NOTCH2
820,SEC22B
821,NBPF20
822,PDZK1
823,RNF115
824,POLR3C
825,NUDT17
826,PIAS3
827,ANKRD35
828,ITGA10
829,PEX11B
830,RBM8A
831,LIX1L
832,ANKRD34A
833,POLR3GL
834,TXNIP
835,PRKAB2
836,FMO5
837,BCL9
838,ACP6
839,GJA5
840,GPR89B
841,NBPF11
842,H2BC21
843,BOLA1
844,SV2A
845,SF3B4
846,MTMR11
847,OTUD7B
848,VPS45
849,PLEKHO1
850,ANP32E
851,APH1A
852,C1orf54
853,CIART
854,PRPF3
855,RPRD2
856,TARS2
857,ECM1
858,ADAMTSL4
859,MCL1
860,ENSA
861,GOLPH3L
862,HORMAD1
863,CTSS
864,CTSK
865,ARNT
866,SETDB1
867,CERS2
868,ANXA9
869,MINDY1
870,PRUNE1
871,BNIPL
872,C1orf56
873,CDC42SE1
874,MLLT11
875,GABPB2
876,SEMA6C
877,TNFAIP8L2
878,SCNM1
879,LYSMD1
880,VPS72
881,PIP5K1A
882,PSMD4
883,ZNF687
884,PI4KB
885,RFX5
886,SELENBP1
887,PSMB4
888,POGZ
889,CGN
890,TUFT1
891,SNX27
892,CELF3
893,RIIAD1
894,OAZ3
895,TDRKH
896,LINGO4
897,RORC
898,C2CD4D
899,THEM4
900,S100A10
901,S100A11
